KL_numpy,recon_np,full_np
0.00035118876,2112.409,2112.4988
0.00029561995,2104.8887,2104.9644
0.012239844,2058.8352,2061.9685
0.0336913,1951.1547,1959.7797
0.045303162,1934.5764,1946.1741
0.05048431,1903.5918,1916.5157
0.0387981,1950.5898,1960.5222
0.047523383,1944.641,1956.807
0.06056155,1884.1256,1899.6294
0.05463169,1912.6835,1926.6692
0.06519858,1887.2991,1903.9899
0.05879699,1921.6481,1936.7001
0.059791457,1887.8333,1903.1399
0.064384595,1869.6952,1886.1776
0.067872405,1856.641,1874.0164
0.060859304,1882.7461,1898.326
0.060500957,1889.3422,1904.8304
0.0701062,1843.4727,1861.4198
0.054131087,1890.0883,1903.9458
0.06348628,1883.5338,1899.7863
0.06276963,1889.9176,1905.9866
0.07282261,1860.634,1879.2766
0.06607547,1875.9043,1892.8196
0.07518839,1835.6227,1854.8708
0.06754446,1876.5543,1893.8457
0.07424173,1858.459,1877.4648
0.074749604,1861.266,1880.4019
0.08264985,1838.2157,1859.374
0.07147433,1874.6292,1892.9266
0.08707579,1847.9764,1870.2678
0.07636011,1853.3329,1872.8811
0.08362328,1834.9242,1856.3318
0.07697519,1864.0433,1883.749
0.072681725,1868.509,1887.1156
0.07895515,1863.8258,1884.0383
0.08631009,1821.4052,1843.5005
0.077834174,1863.192,1883.1176
0.07961193,1822.763,1843.1436
0.078777194,1822.6106,1842.7776
0.07062029,1837.1582,1855.2369
0.07711136,1870.0609,1889.8014
0.09134411,1817.8551,1841.2391
0.075570755,1856.0508,1875.3969
0.083613575,1827.7812,1849.1863
0.07858463,1853.0752,1873.1929
0.08431349,1855.1969,1876.7811
0.08946808,1826.9537,1849.8575
0.087358646,1812.8109,1835.1747
0.074947216,1863.7543,1882.9408
0.08179613,1830.6053,1851.5452
0.08055283,1853.7594,1874.381
0.08330441,1823.6168,1844.9427
0.0931363,1789.9902,1813.8331
0.08503505,1865.6285,1887.3975
0.08103373,1870.0375,1890.7821
0.08858115,1819.1923,1841.869
0.09760664,1802.2155,1827.2028
0.087017216,1829.8212,1852.0975
0.08865225,1837.6266,1860.3215
0.09110303,1842.473,1865.7954
0.084507234,1844.3899,1866.0238
0.08419051,1860.943,1882.4957
0.0969729,1824.4584,1849.2834
0.088111594,1841.6338,1864.1903
0.09620716,1807.9164,1832.5454
0.094992876,1783.5114,1807.8296
0.09390788,1840.5804,1864.6208
0.099940784,1802.7223,1828.3071
0.09019325,1841.1039,1864.1934
0.09687646,1825.7328,1850.5332
0.094140895,1816.9769,1841.077
0.10022395,1810.1215,1835.7788
0.082720935,1859.7708,1880.9473
0.09675819,1796.8531,1821.6233
0.09509758,1824.1198,1848.4647
0.087787464,1843.6337,1866.1073
0.09246234,1821.6702,1845.3406
0.09526745,1827.6543,1852.0427
0.10443699,1787.167,1813.9028
0.09132228,1834.974,1858.3525
0.09683601,1817.9391,1842.7291
0.09484159,1790.5482,1814.8276
0.09847857,1788.0399,1813.2505
0.09731127,1809.9889,1834.9006
0.102128565,1808.2797,1834.4246
0.09504896,1822.0419,1846.3744
0.099565566,1822.3059,1847.7947
0.09903583,1825.2252,1850.5784
0.099645115,1782.7294,1808.2385
0.10889083,1801.1348,1829.0109
0.095316246,1825.3264,1849.7274
0.10644181,1781.0879,1808.337
0.10058122,1752.8623,1778.6111
0.09611448,1807.5516,1832.157
0.1005032,1783.3066,1809.0354
0.0974418,1830.3656,1855.3107
0.087708056,1867.2621,1889.7153
0.09976936,1797.262,1822.803
0.102458775,1805.8168,1832.0463
0.10197633,1790.0674,1816.1733
