KL_numpy,recon_np,full_np
0.15203868,1792.8456,1810.0354
0.30880123,1780.4606,1790.394
0.18589969,1769.8616,1772.6782
0.5301006,1787.9818,1792.1577
1.9804833,1852.57,1854.2887
0.18111984,1765.3534,1833.9287
0.7770023,1827.8645,1828.0834
0.12150866,1864.377,1880.4559
0.14249058,1788.3684,1790.8046
0.21969429,1756.1547,1799.563
1.8631874,1818.29,1818.5608
0.18412282,1789.8541,1793.4266
0.21779609,1789.8231,1795.0316
0.24048968,1835.6067,1837.4786
0.34622,1752.183,1754.7532
0.16745596,1813.4691,1870.9355
1.9136025,1759.8763,1761.7559
0.4859434,1758.6324,1765.7489
0.11127048,1809.9965,1832.5337
1.0727,1790.5289,1790.842
1.9627472,1768.9423,1769.4513
0.17709918,1800.5166,1805.4441
0.42192054,1777.8549,1779.2598
0.21962266,1773.245,1775.3955
0.13282074,1802.8344,1845.3185
0.5637037,1835.0448,1836.5356
0.6280319,1805.5012,1807.2292
2.0817316,1827.6719,1827.9341
0.25365147,1781.3304,1788.5195
0.23730958,1752.168,1795.493
0.9224257,1771.2083,1773.8248
0.8637449,1813.118,1815.6034
0.19498336,1784.2938,1788.3268
0.12758058,1786.7815,1822.1505
0.17544375,1791.7633,1814.0077
2.6362777,1769.9938,1770.7318
0.15489005,1782.3938,1786.0259
0.21360941,1776.9008,1786.1326
0.2505043,1771.8336,1837.2305
0.15184908,1766.0969,1768.926
1.2133019,1740.3799,1742.7827
2.3581197,1801.3528,1804.06
0.20418365,1813.303,1815.1831
1.693682,1773.5637,1774.9907
0.1823728,1810.6649,1818.728
0.13422178,1831.368,1854.6412
0.31063393,1762.1868,1765.364
1.7856652,1810.5012,1811.7206
1.9624611,1757.1342,1757.6824
2.569898,1778.3763,1779.2036
2.5058877,1785.9573,1786.295
1.1834921,1742.2115,1745.0297
1.3666155,1764.1692,1764.7648
1.0054945,1773.082,1774.7545
0.16759656,1806.3329,1835.391
0.19597523,1786.807,1809.786
0.152813,1835.8447,1880.7002
0.21104506,1788.9014,1803.0162
0.17255226,1823.1797,1826.4579
2.1331735,1819.5022,1820.4006
0.26411662,1806.993,1808.5369
2.2033086,1776.1174,1776.8885
0.5455127,1738.4426,1742.5813
0.19361292,1759.0824,1763.966
0.42296386,1793.7411,1803.8864
0.30624223,1792.6116,1803.4006
0.41024986,1776.8391,1782.079
0.5276145,1805.9037,1812.8895
0.15574686,1786.4017,1806.0433
1.251112,1782.0178,1783.3625
0.45273143,1765.3226,1775.4021
0.15192197,1797.3124,1808.7086
0.19061287,1787.805,1821.1953
0.16775315,1804.684,1822.961
0.15705483,1791.5754,1821.6552
0.18336575,1805.1575,1869.931
2.2066562,1783.4423,1783.9354
1.0948862,1786.135,1788.4575
0.15599163,1808.4022,1831.5712
1.7801619,1795.664,1796.2876
0.37422547,1760.9371,1774.8008
1.5823807,1767.8545,1770.0544
1.1573575,1760.4286,1762.5837
1.6018442,1816.9237,1817.9609
1.2096577,1740.7001,1742.584
0.1542119,1787.5074,1805.1814
0.21900272,1811.5377,1816.8428
1.3597014,1763.9652,1764.9354
0.71867275,1787.1895,1788.0223
0.6892464,1805.9277,1807.9722
0.16642907,1821.9075,1831.0027
1.3555788,1732.6309,1732.949
0.33434796,1794.8398,1805.7709
0.3348348,1821.3235,1830.6014
0.6472911,1758.6366,1762.3805
0.6578933,1752.6024,1756.1211
0.18470421,1774.4899,1795.8623
0.49366727,1775.3246,1778.016
2.5681546,1772.9199,1773.7445
0.41860214,1748.659,1756.5642
